Date ,Open ,High ,Low ,Close ,Shares Traded 
04-DEC-2023,20601.95,20702.65,20507.75,20686.8,381107418
05-DEC-2023,20808.9,20864.05,20711.15,20855.1,421008350
06-DEC-2023,20950.75,20961.95,20852.15,20937.7,359212958
07-DEC-2023,20932.4,20941.25,20850.8,20901.15,274985308
08-DEC-2023,20934.1,21006.1,20862.7,20969.4,292440768
11-DEC-2023,20965.3,21026.1,20923.7,20997.1,212921451
12-DEC-2023,21018.55,21037.9,20867.15,20906.4,244867128
13-DEC-2023,20929.75,20950,20769.5,20926.35,260269318
14-DEC-2023,21110.4,21210.9,21074.45,21182.7,334410589
15-DEC-2023,21287.45,21492.3,21235.3,21456.65,508761756
18-DEC-2023,21434.8,21482.8,21365.35,21418.65,249668965
19-DEC-2023,21477.65,21505.05,21337.75,21453.1,249750062
20-DEC-2023,21543.5,21593,21087.35,21150.15,363886229
21-DEC-2023,21033.95,21288.35,20976.8,21255.05,277548079
22-DEC-2023,21295.85,21390.5,21232.45,21349.4,284708918
26-DEC-2023,21365.2,21477.15,21329.45,21441.35,219467748
27-DEC-2023,21497.65,21675.75,21495.8,21654.75,256542963
28-DEC-2023,21715,21801.45,21678,21778.7,393080755
29-DEC-2023,21737.65,21770.3,21676.9,21731.4,270922276
01-JAN-2024,21727.75,21834.35,21680.85,21741.9,153995217
02-JAN-2024,21751.35,21755.6,21555.65,21665.8,263711568
03-JAN-2024,21661.1,21677,21500.35,21517.35,311933117
04-JAN-2024,21605.8,21685.65,21564.55,21658.6,339172697
05-JAN-2024,21705.75,21749.6,21629.2,21710.8,309303266
08-JAN-2024,21747.6,21763.95,21492.9,21513,231452935
09-JAN-2024,21653.6,21724.45,21517.85,21544.85,228568589
10-JAN-2024,21529.3,21641.85,21448.65,21618.7,216991926
11-JAN-2024,21688,21726.5,21593.75,21647.2,212453866
12-JAN-2024,21773.55,21928.25,21715.15,21894.55,294678459
15-JAN-2024,22053.15,22115.55,21963.55,22097.45,345543523
16-JAN-2024,22080.5,22124.15,21969.8,22032.3,292433764
17-JAN-2024,21647.25,21851.5,21550.45,21571.95,455999867
18-JAN-2024,21414.2,21539.4,21285.55,21462.25,387341268
19-JAN-2024,21615.2,21670.6,21575,21622.4,343055124
20-JAN-2024,21706.15,21720.3,21541.8,21571.8,162073740
23-JAN-2024,21716.7,21750.25,21192.6,21238.8,449718534
24-JAN-2024,21185.25,21482.35,21137.2,21453.95,407460664
25-JAN-2024,21454.6,21459,21247.05,21352.6,418143077
29-JAN-2024,21433.1,21763.25,21429.6,21737.6,376702289
30-JAN-2024,21775.75,21813.05,21501.8,21522.1,375137333
31-JAN-2024,21487.25,21741.35,21448.85,21725.7,410583065
01-FEB-2024,21780.65,21832.95,21658.75,21697.45,332541208
02-FEB-2024,21812.75,22126.8,21805.55,21853.8,442794738
05-FEB-2024,21921.05,21964.3,21726.95,21771.7,440849699
06-FEB-2024,21825.2,21951.4,21737.55,21929.4,370968111
07-FEB-2024,22045.05,22053.3,21860.15,21930.5,346263704
08-FEB-2024,22009.65,22011.05,21665.3,21717.95,491069786
09-FEB-2024,21727,21804.45,21629.9,21782.5,349222850
12-FEB-2024,21800.8,21831.7,21574.75,21616.05,287436165
13-FEB-2024,21664.3,21766.8,21543.35,21743.25,365785766
14-FEB-2024,21578.15,21870.85,21530.2,21840.05,359120861
15-FEB-2024,21906.55,21953.85,21794.8,21910.75,345394395
19-FEB-2024,22103.45,22186.65,22021.05,22122.25,218252325
20-FEB-2024,22099.2,22215.6,22045.85,22196.95,295705319
21-FEB-2024,22248.85,22249.4,21997.95,22055.05,364545679
22-FEB-2024,22081.55,22252.5,21875.25,22217.45,343495136
23-FEB-2024,22290,22297.5,22186.1,22212.7,225983194
26-FEB-2024,22169.2,22202.15,22075.15,22122.05,207775504
27-FEB-2024,22090.2,22218.25,22085.65,22198.35,252199186
