Date ,OPEN ,HIGH ,LOW ,close ,VOLUME 
05-Dec-2024,1314.35,1329.95,1306.15,1322.05,16858723
04-Dec-2024,1326,1328.4,1304.05,1308.95,19608540
03-Dec-2024,1317,1326.8,1307,1323.3,16869482
02-Dec-2024,1288,1311.35,1277.05,1309.15,11024152
29-Nov-2024,1280,1299.5,1275.25,1292.2,13202307
28-Nov-2024,1289.95,1296.6,1269.05,1270.8,15027412
27-Nov-2024,1293.5,1303.85,1286,1293.2,9572746
26-Nov-2024,1294.95,1297.85,1284.2,1295.7,9247557
25-Nov-2024,1290,1304.45,1282.45,1287,28923341
22-Nov-2024,1229.4,1268.85,1222.45,1265.4,20471957
21-Nov-2024,1241.65,1243.95,1217.25,1223,19433843
19-Nov-2024,1260.75,1281.5,1235.15,1241.65,14183746
18-Nov-2024,1267.6,1272.9,1243.9,1260.75,13620611
14-Nov-2024,1253.6,1272.6,1251.1,1267.6,12612633
13-Nov-2024,1270.25,1275.45,1249.5,1252.05,14633633
12-Nov-2024,1275.55,1289.3,1267.5,1274.25,10671091
11-Nov-2024,1278.95,1286,1267,1272.7,9056552
08-Nov-2024,1297.65,1301.65,1275,1283.75,19814406
07-Nov-2024,1324,1324,1302.6,1305.65,9611974
06-Nov-2024,1310,1328.3,1300.2,1325.35,21625209
05-Nov-2024,1293,1309.55,1286.15,1305.3,16267479
04-Nov-2024,1337.85,1340,1285.1,1302.15,19796890
01-Nov-2024,1333.05,1341.95,1333,1338.65,2127335
31-Oct-2024,1340,1343,1326.15,1332.05,9331650
30-Oct-2024,1335,1350,1325.35,1343.9,11984423
29-Oct-2024,1328.1,1343.2,1320.3,1340,12008361
28-Oct-2024,1337,1353,1322.1,1334.35,10824350
25-Oct-2024,2687,2688.7,2644,2655.7,9298748
24-Oct-2024,2670.55,2687.4,2646.25,2679.6,11077967
23-Oct-2024,2675,2714.95,2670,2677.05,8607371
22-Oct-2024,2738.4,2752,2680.45,2686.7,7915980
21-Oct-2024,2734.25,2748,2715.45,2738.4,7033704
18-Oct-2024,2704.35,2736.85,2682.65,2718.6,6041226
17-Oct-2024,2731.4,2736.9,2704.1,2712.85,7771830
16-Oct-2024,2680,2728,2675.25,2708.15,10017219
15-Oct-2024,2717.05,2743.4,2681.4,2688.05,16881397
14-Oct-2024,2758.9,2760.15,2736.5,2745.05,6110716
11-Oct-2024,2740,2766.55,2737.65,2744.2,3990061
10-Oct-2024,2760.05,2772,2738.85,2742.1,11179323
09-Oct-2024,2795.05,2801.95,2745,2749.2,7155305
08-Oct-2024,2745.95,2802,2730.2,2794.7,8510404
07-Oct-2024,2787,2793,2722.75,2741.45,11090670
04-Oct-2024,2807.85,2834.7,2763.55,2773.05,18536438
03-Oct-2024,2873.15,2898.8,2804.15,2813.95,18878647
