Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-01,100.20,100.54,99.18,100.32,51516
2023-01-02,100.38,101.48,98.38,99.60,21587
2023-01-03,99.37,100.78,97.55,100.08,56700
2023-01-04,103.57,105.61,102.22,104.93,78498
2023-01-05,103.78,105.09,102.58,104.87,34243
2023-01-06,106.09,107.55,104.47,105.08,87685
2023-01-07,104.60,104.81,104.11,104.35,47729
2023-01-08,105.97,106.12,104.90,105.84,99720
2023-01-09,105.09,105.70,103.16,103.87,77687
2023-01-10,103.13,103.66,100.30,102.16,17421
2023-01-11,100.19,102.68,100.03,101.29,99114
2023-01-12,100.38,100.48,99.64,100.17,24107
2023-01-13,102.94,105.64,98.68,101.22,90533
2023-01-14,102.94,103.97,100.95,102.50,59184
2023-01-15,100.09,100.95,98.61,100.84,80884
2023-01-16,105.20,107.06,102.53,106.68,83723
2023-01-17,110.87,114.39,109.16,112.48,65152
2023-01-18,110.54,111.43,109.71,110.94,80371
2023-01-19,113.15,114.04,111.41,111.78,52920
2023-01-20,111.85,114.08,107.42,111.46,25229
2023-01-21,112.64,116.89,109.86,109.97,67656
2023-01-22,110.48,111.78,109.59,110.12,93090
2023-01-23,110.94,110.97,110.23,110.33,94211
2023-01-24,112.86,114.05,112.09,113.67,33180
2023-01-25,112.05,115.15,107.48,108.68,33798
2023-01-26,107.77,110.98,105.38,107.62,5121
2023-01-27,109.75,112.39,106.91,107.62,44353
2023-01-28,108.00,108.25,107.42,107.51,80162
2023-01-29,106.07,106.86,105.99,106.86,82030
2023-01-30,109.32,111.69,108.55,109.23,49924
2023-02-01,109.50,112.05,109.18,110.65,35301
2023-02-02,107.16,110.93,104.21,109.85,11137
2023-02-03,110.19,110.32,109.09,109.84,86097
2023-02-04,110.86,111.87,109.88,110.47,30325
2023-02-05,111.75,113.50,110.48,112.41,44705
2023-02-06,112.87,115.51,109.46,112.63,82945
2023-02-07,112.61,114.59,109.71,112.12,28069
2023-02-08,110.49,110.99,106.95,110.88,32772
2023-02-09,111.84,113.47,110.20,111.16,93365
2023-02-10,109.61,111.50,109.16,110.97,62992
2023-02-11,111.71,113.38,111.09,112.30,64521
2023-02-12,112.65,114.04,110.67,113.27,47601
2023-02-13,111.29,112.73,107.38,109.52,24533
2023-02-14,106.77,106.83,106.05,106.75,78931
2023-02-15,105.69,107.79,104.54,105.46,36352
2023-02-16,103.69,108.81,103.55,105.40,65959
2023-02-17,103.77,105.68,102.57,105.09,43645
2023-02-18,103.82,104.05,100.98,103.80,34185
2023-02-19,102.44,102.91,102.21,102.26,18112
2023-02-20,105.11,107.89,103.86,107.68,80773
2023-02-21,107.98,111.51,101.95,106.98,35079
2023-02-22,103.62,105.23,101.32,101.65,21521
2023-02-23,101.59,102.27,97.70,98.58,28157
2023-02-24,99.14,100.82,98.01,99.88,96475
2023-02-25,101.02,103.16,100.69,102.89,50679
2023-02-26,104.65,106.97,104.51,105.37,63070
2023-02-27,101.40,101.85,100.14,100.25,49517
2023-02-28,102.64,104.92,97.46,97.60,59461
2023-02-29,95.80,97.18,95.50,96.27,83139
2023-02-30,97.38,100.44,95.12,95.46,80210
2023-03-01,94.87,96.49,92.11,93.16,99796
2023-03-02,93.86,94.76,92.25,94.68,71844
2023-03-03,96.66,101.85,94.96,101.18,99812
2023-03-04,101.31,101.44,100.68,101.33,28463
2023-03-05,101.23,102.77,98.23,99.44,2087
2023-03-06,97.77,100.69,95.10,98.12,20639
2023-03-07,95.69,99.70,94.70,96.58,82724
2023-03-08,98.19,98.99,95.55,98.17,32571
2023-03-09,99.38,100.84,97.76,99.34,88292
2023-03-10,94.24,95.63,91.70,94.33,52026
2023-03-11,92.75,93.44,90.20,91.92,35839
2023-03-12,87.76,87.78,86.29,86.35,55517
2023-03-13,86.31,86.70,85.79,86.19,55580
2023-03-14,85.23,86.00,83.20,85.80,92645
2023-03-15,84.55,87.69,79.55,87.13,26877
2023-03-16,87.82,88.82,87.57,88.47,29577
2023-03-17,88.18,89.40,87.66,88.16,96484
2023-03-18,88.52,89.11,85.71,88.22,88128
2023-03-19,87.97,87.98,86.26,87.36,86272
2023-03-20,90.01,91.05,87.74,88.92,40010
2023-03-21,88.98,90.93,87.37,89.82,20465
2023-03-22,89.58,92.66,89.30,89.86,92848
2023-03-23,90.59,90.60,88.57,89.46,60405
2023-03-24,89.55,92.76,88.99,92.31,20826
2023-03-25,92.84,95.93,92.07,95.27,59967
2023-03-26,96.44,97.90,95.04,95.98,87637
2023-03-27,95.60,97.88,94.27,95.10,8288
2023-03-28,99.41,100.93,96.65,100.47,4697
2023-03-29,99.21,100.98,98.33,99.26,3282
2023-03-30,101.53,101.79,99.25,100.99,41058
2023-04-01,100.83,101.16,96.50,100.96,29796
2023-04-02,98.66,98.76,98.56,98.68,86189
2023-04-03,98.26,98.79,96.67,98.07,83055
2023-04-04,97.90,98.17,96.24,97.90,33660
2023-04-05,98.65,101.93,95.83,98.51,70338
2023-04-06,99.27,99.41,98.80,99.37,34954
2023-04-07,100.67,101.34,99.38,100.16,24374
2023-04-08,101.85,102.85,100.02,102.32,52608
2023-04-09,106.23,110.46,104.29,108.51,16670
2023-04-10,107.92,109.24,104.46,108.82,33559
2023-04-11,108.00,110.30,107.29,108.75,37809
2023-04-12,106.49,108.79,106.44,106.94,13541
2023-04-13,105.72,107.02,105.50,106.94,2595
2023-04-14,107.98,113.46,107.36,112.97,4548
2023-04-15,116.12,116.19,115.13,115.29,5087
2023-04-16,114.28,118.12,113.13,117.53,99896
2023-04-17,113.15,113.42,110.66,112.43,53262
2023-04-18,112.19,117.15,110.62,113.44,32150
2023-04-19,114.05,116.12,111.68,114.44,70182
2023-04-20,114.23,117.79,114.22,115.23,20649
2023-04-21,112.56,113.45,111.90,113.12,56855
2023-04-22,110.76,111.88,108.25,109.36,22066
2023-04-23,110.47,111.73,109.44,110.46,85188
2023-04-24,108.97,110.25,107.44,108.07,43379
2023-04-25,106.11,106.44,105.71,105.85,75516
2023-04-26,108.76,110.70,108.73,109.27,10424
2023-04-27,108.13,108.71,104.73,106.94,21552
2023-04-28,108.59,109.56,105.69,107.30,67931
2023-04-29,109.57,112.25,109.55,110.01,62983
2023-04-30,109.36,111.27,108.59,111.02,73929
2023-05-01,112.19,116.45,108.63,109.44,40960
2023-05-02,109.57,113.69,107.11,107.94,42098
2023-05-03,104.99,106.41,101.65,104.01,88145
2023-05-04,103.42,104.20,100.21,103.25,81419
2023-05-05,103.89,105.17,101.59,105.11,4746
