Date ,OPEN ,HIGH ,LOW ,close ,VOLUME 
04-Dec-2024,2528,2530.05,2470.1,2494.75,"23,44,949"
03-Dec-2024,2464,2558,2462.05,2514.2,"40,70,042"
02-Dec-2024,2491.35,2508,2426.6,2457.05,"38,07,565"
29-Nov-2024,2464.05,2520,2400,2463.15,"81,91,680"
28-Nov-2024,2440,2526.3,2400,2437.1,"1,44,45,549"
27-Nov-2024,2180,2418,2142.15,2397.8,"1,75,02,156"
26-Nov-2024,2265.6,2292.85,2136,2150.5,"77,23,187"
25-Nov-2024,2315,2333.65,2238,2257.5,"74,66,733"
22-Nov-2024,2101,2289.7,2025,2228,"2,09,39,196"
21-Nov-2024,2539.35,2539.35,2155.05,2183.65,"2,17,96,668"
19-Nov-2024,2831,2894.8,2809.8,2821.5,"5,36,296"
18-Nov-2024,2826.8,2858.65,2793.3,2818.7,"4,89,692"
14-Nov-2024,2824,2844.8,2801,2826.8,"6,46,797"
13-Nov-2024,2860,2889,2808,2816.7,"8,90,146"
12-Nov-2024,2910,2930.45,2855,2870,"5,97,231"
11-Nov-2024,2928,2946.8,2888,2903.65,"5,84,144"
08-Nov-2024,2965.1,2995,2911.25,2929.1,"8,35,641"
07-Nov-2024,3045,3045,2943.05,2970.1,"12,85,585"
06-Nov-2024,2918,3070,2918,3046.25,"16,76,755"
05-Nov-2024,2897.4,2924,2870,2915.55,"7,52,303"
04-Nov-2024,2935,2943,2857.75,2897.4,"10,59,384"
01-Nov-2024,2960,2975.6,2928.4,2949.5,"3,04,673"
31-Oct-2024,2967.9,2976.5,2933.85,2947.25,"11,56,390"
30-Oct-2024,2864,2997.15,2815.05,2969.3,"28,84,272"
29-Oct-2024,2803,2863.05,2732.85,2848.6,"15,29,844"
28-Oct-2024,2701.1,2822.4,2672.1,2798.65,"13,85,033"
25-Oct-2024,2845,2847,2654.7,2693.45,"19,54,174"
24-Oct-2024,2841.05,2875.15,2807.9,2830.2,"9,42,066"
23-Oct-2024,2840.85,2879,2820.1,2835.55,"12,70,530"
22-Oct-2024,2938,2955,2818,2823.8,"12,09,732"
21-Oct-2024,3005.15,3014.95,2916.95,2937.65,"10,51,690"
18-Oct-2024,2990,3031.7,2968.1,3002,"7,96,339"
17-Oct-2024,3089.95,3100,2993,3013.75,"26,55,289"
16-Oct-2024,3098,3115.4,3061,3085.9,"5,43,476"
15-Oct-2024,3124,3128,3091.5,3104.7,"3,71,613"
14-Oct-2024,3145,3150.1,3092.85,3101.1,"4,37,728"
11-Oct-2024,3174.2,3190,3116,3137.2,"10,35,260"
10-Oct-2024,3140,3211,3056.1,3174.2,"29,05,725"
09-Oct-2024,3175,3179.95,3134.4,3153.75,"8,97,335"
08-Oct-2024,3018.5,3170,2994.85,3160.7,"17,76,511"
07-Oct-2024,3110.65,3128.5,2980.45,3018,"17,43,454"
04-Oct-2024,3119.9,3149.5,3070,3110.65,"9,87,583"
03-Oct-2024,3150,3196.35,3084.1,3116,"13,09,703"
01-Oct-2024,3136.3,3192,3107,3186.1,"13,67,116"
30-Sep-2024,3129,3209.9,3120.4,3135.85,"16,07,429"
27-Sep-2024,3122,3179,3116,3130.3,"22,97,441"
26-Sep-2024,3085,3148,3085,3122.65,"15,48,019"
25-Sep-2024,3108,3123.9,3080.2,3105.1,"9,13,008"
24-Sep-2024,3055,3101,3040.25,3093.9,"10,21,918"
23-Sep-2024,3020,3070,3015.25,3043.95,"8,97,314"
20-Sep-2024,2948.15,3025,2942.05,3008.5,"17,87,210"
19-Sep-2024,2975.05,2975.25,2890.35,2943.15,"16,55,401"
18-Sep-2024,2976,2984.75,2935,2956.3,"8,31,891"
17-Sep-2024,2990.05,2995.9,2952.5,2975.2,"6,98,700"
16-Sep-2024,2972,3026.4,2972,2984.9,"6,95,162"
13-Sep-2024,2972,3001.95,2956.05,2968.35,"8,15,948"
12-Sep-2024,2950,3000,2917.15,2991,"13,14,173"
11-Sep-2024,2985,2992.95,2928,2937.85,"8,88,628"
10-Sep-2024,2971.6,3007.4,2947.6,2986.4,"8,03,782"
09-Sep-2024,2972.1,2972.5,2927.3,2964.15,"15,23,581"
06-Sep-2024,3019,3025,2968,2975.45,"12,51,165"
05-Sep-2024,3025,3037.9,3002,3015.35,"7,34,273"
04-Sep-2024,3010,3025,2955.2,3012.35,"12,12,270"
03-Sep-2024,3037,3053.05,3023.8,3036.1,"13,71,577"
02-Sep-2024,3021.1,3059.15,2997.6,3042.15,"18,42,658"
30-Aug-2024,3030,3038.55,3003.3,3019.35,"35,09,174"
29-Aug-2024,3030,3041.95,2981.3,3020.15,"18,53,966"
28-Aug-2024,3078,3078,3022.1,3028,"15,69,652"
27-Aug-2024,3072.2,3095.75,3064,3067.1,"13,10,440"
26-Aug-2024,3088,3090,3055,3069,"16,32,446"
23-Aug-2024,3101,3123,3067.6,3076.35,"13,75,224"
22-Aug-2024,3130.75,3150,3091,3099.05,"13,78,912"
21-Aug-2024,3070.65,3153.3,3068.4,3115.7,"13,79,240"
20-Aug-2024,3118.95,3126,3058.85,3070.65,"6,62,263"
19-Aug-2024,3122.05,3134.3,3092.95,3102.55,"5,57,265"
16-Aug-2024,3070,3121.6,3039.35,3108.8,"9,70,067"
14-Aug-2024,3085.7,3085.7,3027.75,3040.1,"12,32,383"
13-Aug-2024,3170.05,3178.1,3081.75,3092.2,"21,92,588"
12-Aug-2024,3100,3169.85,3014,3151.75,"1,03,07,245"
09-Aug-2024,3209,3219.3,3171.05,3187.55,"7,60,165"
08-Aug-2024,3190.55,3242.65,3156.55,3167.55,"21,39,376"
07-Aug-2024,3118,3190,3112,3185.95,"18,68,169"
06-Aug-2024,3084,3142.8,3057.25,3072.7,"21,25,201"
05-Aug-2024,3085,3133.05,2996.3,3038.2,"22,38,921"
02-Aug-2024,3200,3215,3111,3160.9,"33,60,209"
01-Aug-2024,3180,3258,3151.7,3217.25,"61,49,883"
31-Jul-2024,3141,3197.5,3135,3169.4,"24,14,005"
30-Jul-2024,3092,3155,3066.65,3128.75,"16,47,048"
